Fecha,Frecuencia
2022-10-31,154
2022-11-01,190
2022-11-02,119
2022-11-03,127
2022-11-04,153
2022-11-05,149
2022-11-06,151
2022-11-07,169
2022-11-08,173
2022-11-09,211
2022-11-10,248
2022-11-11,190
2022-11-12,229
2022-11-13,215
2022-11-14,288
2022-11-15,315
2022-11-16,307
2022-11-17,343
2022-11-18,343
2022-11-19,353
2022-11-20,402
2022-11-21,363
2022-11-22,394
2022-11-23,345
2022-11-24,578
2022-11-25,576
2022-11-26,401
2022-11-27,521
2022-11-28,634
2022-11-29,521
2022-11-30,552
2022-12-01,778
2022-12-02,640
2022-12-03,721
2022-12-04,587
2022-12-05,763
2022-12-06,825
2022-12-07,665
2022-12-08,592
2022-12-09,792
2022-12-10,827
2022-12-11,811
2022-12-12,802
2022-12-13,722
2022-12-14,563
2022-12-15,650
2022-12-16,713
2022-12-17,669
2022-12-18,673
2022-12-19,675
2022-12-20,604
2022-12-21,432
2022-12-22,515
2022-12-23,380
2022-12-24,357
2022-12-25,349
2022-12-26,385
2022-12-27,307
2022-12-28,254
2022-12-29,306
2022-12-30,275
2022-12-31,248
2023-01-01,356
2023-01-02,374
2023-01-03,325
2023-01-04,282
2023-01-05,269
2023-01-06,317
2023-01-07,309
2023-01-08,309
2023-01-09,221
2023-01-10,195
2023-01-11,106
2023-01-12,128
2023-01-13,143
2023-01-14,115
2023-01-15,142
2023-01-16,163
2023-01-17,126
2023-01-18,105
2023-01-19,136
2023-01-20,131
2023-01-21,124
2023-01-22,131
2023-01-23,105
2023-01-24,101
2023-01-25,76
2023-01-26,83
2023-01-27,104
2023-01-28,86
2023-01-29,95
2023-01-30,109
2023-01-31,117
2023-02-01,134
2023-02-02,123
2023-02-03,110
2023-02-04,87
2023-02-05,106
2023-02-06,86
2023-02-07,91
2023-02-08,70
2023-02-09,85
2023-02-10,81
2023-02-11,66
2023-02-12,76
2023-02-13,75
2023-02-14,72
2023-02-15,86
2023-02-16,109
2023-02-17,121
2023-02-18,140
2023-02-19,112
2023-02-20,110
2023-02-21,87
2023-02-22,71
2023-02-23,99
2023-02-24,90
2023-02-25,112
2023-02-26,112
2023-02-27,174
2023-02-28,165
2023-03-01,174
2023-03-02,123
2023-03-03,118
2023-03-04,55
2023-03-05,54
2023-03-06,53
2023-03-07,35
2023-03-08,27
2023-03-09,29
2023-03-10,27
2023-03-11,23
2023-03-12,36
2023-03-13,37
2023-03-14,41
2023-03-15,50
2023-03-16,48
2023-03-17,57
2023-03-18,83
2023-03-19,73
2023-03-20,118
2023-03-21,75
2023-03-22,72
2023-03-23,94
2023-03-24,85
2023-03-25,54
2023-03-26,53
2023-03-27,88
2023-03-28,71
2023-03-29,61
2023-03-30,62
2023-03-31,96
2023-04-01,69
2023-04-02,53
2023-04-03,88
2023-04-04,72
2023-04-05,67
2023-04-06,92
2023-04-07,80
2023-04-08,65
2023-04-09,123
2023-04-10,92
2023-04-11,66
2023-04-12,65
2023-04-13,62
2023-04-14,50
2023-04-15,78
2023-04-16,65
2023-04-17,81
2023-04-18,84
2023-04-19,78
2023-04-20,96
2023-04-21,122
2023-04-22,104
2023-04-23,117
2023-04-24,124
2023-04-25,98
2023-04-26,62
2023-04-27,83
2023-04-28,78
2023-04-29,115
2023-04-30,96
2023-05-01,123
2023-05-02,121
2023-05-03,110
2023-05-04,123
2023-05-05,137
2023-05-06,105
2023-05-07,92
2023-05-08,135
2023-05-09,157
2023-05-10,138
2023-05-11,109
2023-05-12,189
2023-05-13,222
2023-05-14,143
2023-05-15,186
2023-05-16,153
2023-05-17,148
2023-05-18,145
2023-05-19,135
2023-05-20,91
2023-05-21,117
2023-05-22,110
